popular,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,unix_timestamp
0,2,0.756,0.855,7.0,-6.7,1,0.033404206227936495,0.07273800229315408,2.2650023005943967e-05,0.016656510451318243,0.699,4.847512260595769,12.282482608924926,315532800.0
0,4,0.452,0.889,4.0,-3.838,1,0.02391846619187507,0.14133384488787093,0.0002612724218499048,0.13231215592538575,0.591,4.983990109811209,11.93906863406412,1066176000.0
0,6,0.607,0.738,10.0,-7.034,0,0.05656552786712839,0.08514163974994808,3.0397680549459184e-05,0.10030405790786295,0.564,4.5179224174238115,12.047393393849188,1421280000.0
0,5,0.606,0.532,8.0,-8.916,1,0.027054750570932498,0.057776389195451285,0.0,0.04317338242755923,0.199,4.486690657837112,12.60418075718477,947894400.0
0,6,0.851,0.824,6.0,-11.866,0,0.053597244314136754,0.14421691823742142,0.0,0.09815314751631592,0.649,4.948369743358731,11.328148897101162,1576368000.0
0,5,0.73,0.695,0.0,-6.837,0,0.022600326357911548,0.1961785000908662,0.0,0.11269351964652373,0.815,4.948873359117652,12.207411748531403,1455494400.0
0,5,0.814,0.592,6.0,-7.001,1,0.05420173711023642,0.03599209528142048,0.0,0.050033930927887896,0.904,4.51095840272536,12.49636630481844,1397520000.0
0,7,0.41,0.929,6.0,-5.884,1,0.022895799251182694,0.02462273601446021,0.000217560015354537,0.07020173098105242,0.554,4.9377921627197185,12.473707610803004,663897600.0
1,2,0.534,0.621,2.0,-5.205,1,0.026536239742380775,0.0012338812104906842,1.319784645813195e-05,0.043998292851612955,0.186,4.530931436052559,12.537736913801837,1573776000.0
0,5,0.405,0.729,1.0,-9.354,0,0.050223366380784,0.011269116925431632,0.00018301743524737961,0.1369588763477486,0.491,5.043528337398281,12.437763563805774,1400112000.0
1,4,0.703,0.832,0.0,-7.202,0,0.03345169497530989,0.0014811743855818993,0.0002608007775352703,0.04923584435881796,0.667,4.812420099940207,12.188366818411241,1505433600.0
0,0,0.348,0.263,0.0,-8.531,1,0.02874994137206367,0.20126176653784414,0.0002612512078313406,0.0732155460915664,0.12,4.324357796471932,12.371591321286905,315532800.0
1,6,0.62,0.574,5.0,-7.788,0,0.027559612480261824,0.17962757972897947,0.0,0.08977013828660439,0.352,4.615328416020806,12.42991195474871,1494806400.0
0,7,0.396,0.739,4.0,-6.57,0,0.02603948137106839,1.049955901929289e-05,0.0002610198409959731,0.11637596918142447,0.338,4.795368969142568,12.055563660010879,1568505600.0
1,7,0.466,0.648,1.0,-11.101,0,0.019548614906403243,0.002279040820558588,1.409610461908789e-05,0.0673652190818287,0.305,4.515628337326596,12.345665008310135,600825600.0
0,1,0.885,0.835,9.0,-3.238,0,0.0447405349340384,0.11133140108057768,1.9694404390663667e-05,0.08622528212695721,0.836,4.836496169709859,12.101828173530544,1408060800.0
1,0,0.6,0.535,4.0,-7.043,1,0.04051070775773526,0.18718588189874868,4.616944692177939e-06,0.08290316198938792,0.269,4.289253234521527,12.324451059469283,1518652800.0
0,6,0.544,0.833,0.0,-5.003,1,0.024586158426181604,0.03308708101658994,0.0,0.10504031696745902,0.736,4.482143426008655,12.335243921646418,1402790400.0
0,2,0.632,0.378,9.0,-11.462,1,0.020783366685153067,0.20425710421939572,2.389469262802082e-05,0.06663133700632466,0.347,4.837297264317552,12.253342607157988,1189814400.0
0,7,0.768,0.744,8.0,-11.267,1,0.022214321235154093,0.02005708412752699,0.00026126062573985845,0.04582905936051463,0.963,4.8523114743762505,12.490853012102507,813715200.0
0,7,0.765,0.788,3.0,-9.896,1,0.021953078867691343,0.015568978173131772,0.00026123834221890264,0.039294416258597684,0.964,4.851084504329974,12.492006941510096,818985600.0
1,0,0.606,0.887,4.0,-4.404,1,0.031139022125462282,0.00024176597996544607,0.0,0.1137735894431754,0.903,4.7955756464745205,12.170450649220749,315532800.0
0,6,0.838,0.675,11.0,-6.533,1,0.0486898454244215,0.0009464042321241221,0.0,0.09508580384922169,0.597,4.665625381688026,11.865931687372433,1116115200.0
1,6,0.721,0.651,1.0,-7.962,1,0.05677219366721502,0.14381305738247438,0.0,0.10299273526087481,0.233,5.008927169414901,12.355070070116632,1573776000.0
1,4,0.739,0.742,7.0,-4.586,1,0.021821264346740234,0.02081665647092559,1.3826440243949254e-06,0.0977826292815943,0.659,4.828441729111,12.149507585033072,1539561600.0
0,2,0.804,0.702,1.0,-8.566,1,0.04762106610399463,0.01644550476984571,3.476431110459042e-05,0.10921931004417126,0.727,4.542975582394973,12.287164033915062,903139200.0
0,1,0.4,0.455,0.0,-9.064,0,0.03127469905774746,0.021738311134058306,0.0,0.047710643695797056,0.529,4.981110357947915,12.076089237073717,1497484800.0
0,1,0.614,0.836,0.0,-7.943,0,0.026430850277175833,0.003441977722872388,0.00026127289971198336,0.06844714859257159,0.427,4.851975574924201,12.169185607238262,1552608000.0
0,6,0.681,0.567,8.0,-7.353,1,0.056171287359330024,0.10350346602780511,0.0,0.04703776418027794,0.698,4.304186707430482,12.243922226803923,1465948800.0
